ID,Title,Max/Mean,2013-12-11T00:00:00,2013-12-12T00:00:00,2013-12-13T00:00:00,2013-12-14T00:00:00,2013-12-15T00:00:00,2013-12-16T00:00:00,2013-12-17T00:00:00,2013-12-18T00:00:00,2013-12-19T00:00:00,2013-12-20T00:00:00,2013-12-21T00:00:00,2013-12-22T00:00:00,2013-12-23T00:00:00
51d71d59a0b7f98b7767774f,Painkiller: Hell & Damnation,Max,1,1,4,133,7,7,4,2,6,5,3,6,12
51d71d59a0b7f98b7767774f,Painkiller: Hell & Damnation,Mean,0.2608695652173913,0.18181818181818182,0.2608695652173913,10.826086956521738,1.8695652173913044,0.8636363636363636,1.0869565217391304,0.4090909090909091,0.5217391304347826,0.8,0.23809523809523808,0.6521739130434783,1.6956521739130435
5209c90de4b0f5e0f12b8c8a,Cabela's African Adventures,Max,2,6,1,3,1,3,0,4,2,8,1,2,2
5209c90de4b0f5e0f12b8c8a,Cabela's African Adventures,Mean,0.13043478260869565,1.3181818181818181,0.17391304347826086,0.391304347826087,0.08695652173913043,0.3181818181818182,0.0,0.4090909090909091,0.30434782608695654,0.7,0.09523809523809523,0.13043478260869565,0.13043478260869565
51821ab1bd028659d3bdf6da,Rainbow 6: Patriots,Max,1585,1934,5068,1968,5459,1209,822,5305,44938,13750,2587,13828,6918
51821ab1bd028659d3bdf6da,Rainbow 6: Patriots,Mean,161.6086956521739,229.13636363636363,608.4347826086956,127.34782608695652,917.3913043478261,184.36363636363637,185.56521739130434,645.2727272727273,4301.130434782609,1102.3,426.8095238095238,852.4347826086956,768.5652173913044
524677e7e4b05d75effe7402,Plants vs Zombies Garden Warfare,Max,4,5,14,79,3,3,8,1002,318,60,30,14,5
524677e7e4b05d75effe7402,Plants vs Zombies Garden Warfare,Mean,0.9565217391304348,1.1363636363636365,2.0434782608695654,5.3478260869565215,0.8695652173913043,0.6363636363636364,1.6521739130434783,107.04545454545455,67.6086956521739,12.25,7.619047619047619,3.260869565217391,1.6956521739130435
52561c59e4b03ef13093d498,Killzone: Shadow Fall,Max,1224,1189,2092,474,10708,1440,1447,1270,4736,7562,305055,456610,514178
52561c59e4b03ef13093d498,Killzone: Shadow Fall,Mean,137.08695652173913,120.77272727272727,497.5217391304348,110.34782608695652,1405.2173913043478,413.90909090909093,369.17391304347825,252.5,340.69565217391306,1030.5,78499.52380952382,153382.86956521738,96413.30434782608
